NAME,LEGACY_NAMES,IATI_REF,ORG_TYPE
3B ADVISORY LIMITED,"",,71
AB5 CONSULTING LTD,"",,71
ADAS,"",,71
ADVANCED MICROWAVE TECHNOLOGIES LTD,"",,71
ADVANCED NANOSTRUCTURED MATERIALS DESIGN AND CONSULTANCY (ANAMAD) LIMITED,"",,71
AGRI-EPI CENTRE LIMITED,"",,71
AGROPY UK LIMITED,"",,71
AGSENZE LIMITED,{AGSENZE LTD},,71
AIR PUREX LTD,"",,71
ARCH - KWTRP,"",,71
AUTONOMOUS DEVICES LIMITED,"",,71
AUTSERA LTD,"",,71
AbacusBio International Limited,"",,71
Abertay University,"",,80
Aberystwyth University,"",,80
Academy of Medical Science,"{Academy of Medical Sciences,Academy of Medical Sciencwes}",,80
Addis Ababa University,"",,80
African Ctr for Economic Transformation,"",,24
African Origins UK Limited,"",,71
African Population and Health Res Centre,"",,24
Aga Khan University,"",,80
Agricompas,"",,71
Airbus,{Airbus },,71
Airponix Ltd,"",,71
American University of Beirut,"",,80
Anglia Ruskin University,"",,80
Another Way Learning and Development Ltd,"",,71
Aquaffirm,"",,71
Arts and Humanities Research Council,"",,80
Assimila Ltd,{Assimila},,71
Aston University,"",,80
Astrosat,"",,71
Avanti Communications,{Avanti Communications },,71
BEIS Finance,"{""Department for Business, Energy and Industrial Strategy""}",,80
BIG SOLAR LTD / Power Roll Ltd,"",,71
BRAC Centre,"",,80
BRITS ENERGY LIMITED,"",,71
BUFFALOGRID LTD,"",,71
Bangor University,"",,80
Bath Spa University,"",,80
Beyond Water Ltd,"",,90
Biopolymer Solutions Limited,"",,80
Biotechnology & Biological Sciences Research Council,"",,80
Bioversity International,"",,80
Birkbeck College,"",,80
"Birkbeck, University of London",{Birkbeck College},,80
Birmingham City University,"",,80
Bournemouth University,"",,80
British Academy,"",,80
British Antarctic Survey,"",,80
British Council,"",,80
British Geological Survey,"",,80
British Institute at Ankara,"",,80
British Institute in Eastern Africa,"",,80
British Library,"",,15
Brown University,"",,80
Brunel University London,"",,80
C.A.B. INTERNATIONAL LIMITED,"{CAB International,CAB International (CABI)}",,71
C3 BIO-TECHNOLOGIES LIMITED,"",,71
CABI,"",,21
CAMNEXUS LTD,"",,71
CAPILLARY FILM TECHNOLOGY LTD,"",,71
CARNOT LTD,"",,71
CBCI Society for Medical Education,"",,80
CDL,"",,90
CGI IT UK,{CGI IT UK },,90
CHARM IMPACT LTD,"",,71
CIRAD,"",,90
CLIMATE EDGE LIMITED,"",,71
CNRS - Delegation Midi-Pyrenees,"",,90
COGNITANT GROUP LIMITED,"",,71
CONDESAN,"",,90
CONNECTED ENERGY TECHNOLOGIES LTD,"",,71
CREATIVENERGIE,"",,90
