activity_id,parent_id
GB-GOV-13-NEWT-RAE_CHL_710,Chile-Newton-NRCP-RAE
GB-GOV-13-NEWT-RAE_DEL_Del34,RAE-Del
GB-GOV-13-NEWT-RAE_DEL_Del35,RAE-Del
GB-GOV-13-NEWT-RAE_BRA_703,Brazil-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_BRA_705,Brazil-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_CHN_714,China-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_CHN_715,China-Newton-IN-RAE
GB-GOV-13-NEWT-RAE_COL_717,Colombia-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_COL_721,Colombia-Newton-IAPP-RAE
GB-GOV-13-NEWT-RAE_EGY_722,Egypt-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_EGY_723,Egypt-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_IND_726,India-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_IND_727,India-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_IND_728,India-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_IDN_732,Indonesia-Newton-IAPP-RAE
GB-GOV-13-NEWT-RAE_IDN_733,Indonesia-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_MYS_741,Malaysia-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_MEX_747,Mexico-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_MEX_748,Mexico-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_MEX_749,Mexico-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_PHL_753,Philippines-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_PHL_754,Philippines-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_PHL_755,Philippines-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_ZAF_765,South Africa-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_ZAF_766,South Africa-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_ZAF_769,South Africa-Newton-IAPP-RAE
GB-GOV-13-NEWT-RAE_THA_770,Thailand-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_THA_771,Thailand-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_THA_772,Thailand-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_THA_775,Thailand-Newton-IAPP-RAE
GB-GOV-13-NEWT-RAE_TUR_780,Turkey-Newton-NRCP-RAE
GB-GOV-13-NEWT-RAE_TUR_782,Turkey-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_TUR_783,Turkey-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_VNM_792,Vietnam-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_VNM_793,Vietnam-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_VNM_794,Vietnam-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_CHN_797,China-Newton-IAPP-RAE
GB-GOV-13-NEWT-RAE_CHN_798,China-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_KEN_798,Kenya-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_PER_798,Peru-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_IND_799,India-Newton-IN-RAE
GB-GOV-13-NEWT-RAE_JOR_800,Jordan-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_COL_801,Colombia-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_IND_802,India-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_JOR_803,Jordan-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_ZAF_804,South Africa-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_THA_805,Thailand-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_TUR_806,Turkey-Newton-TSTP-RAE
GB-GOV-13-NEWT-RAE_SEA_807,Regional-Newton-LIF-RAE
GB-GOV-13-NEWT-RAE_LAT_808,Regional-Newton-LIF-RAE
GB-GOV-13-RAENG-GCRF-01,GCRF
GB-GOV-13-RAENG-GCRF-02,GCRF
GB-GOV-13-RAENG-GCRF-03,GCRF
GB-GOV-13-RAENG-GCRF-04,GCRF
GB-GOV-13-RAENG-GCRF-05,GCRF
GB-GOV-13-RAENG-GCRF-06,GCRF
GB-GOV-13-RAENG-GCRF-07,GCRF
GB-GOV-13-RAENG-GCRF-08,GCRF
GB-GOV-13-RAENG-GCRF-09,GCRF
