project_id,programme_id
GB-GOV-13-NEWT-AMS_BRA_NAF0001,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0002,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0004,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0006,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0008,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0010,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NAF0012,Brazil-Newton-Adv
GB-GOV-13-NEWT-AMS_BRA_NIF0001,Brazil-Newton-Int
GB-GOV-13-NEWT-AMS_BRA_NIF0004,Brazil-Newton-Int
GB-GOV-13-NEWT-AMS_BRA_NIF0005,Brazil-Newton-Int
GB-GOV-13-NEWT-AMS_BRA_NIF0006,Brazil-Newton-Int
GB-GOV-13-NEWT-AMS_BRA_NIF0007,Brazil-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NAF0001,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0003,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0005,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0007,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0009,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0011,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NAF0013,China-Newton-Adv
GB-GOV-13-NEWT-AMS_CHN_NIF0001,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0002,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0003,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0004,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0005,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0006,China-Newton-Int
GB-GOV-13-NEWT-AMS_CHN_NIF0007,China-Newton-Int
GB-GOV-13-NEWT-AMS_DEL_Del_Misc,AMS-Del
GB-GOV-13-NEWT-AMS_DEL_Del_Staff,AMS-Del
GB-GOV-13-NEWT-AMS_DEL_Del_Travel,AMS-Del
GB-GOV-13-NEWT-AMS_IND_NIF0002,India-Newton-Int
GB-GOV-13-NEWT-AMS_IND_NIF0003,India-Newton-Int
GB-GOV-13-NEWT-AMS_IND_NIF0004,India-Newton-Int
GB-GOV-13-NEWT-AMS_IND_NIF0005,India-Newton-Int
GB-GOV-13-NEWT-AMS_IND_NIF0006,India-Newton-Int
GB-GOV-13-NEWT-AMS_IND_NIF0007,India-Newton-Int
GB-GOV-13-NEWT-AMS_MEX_NAF0001,Mexico-Newton-Adv
GB-GOV-13-NEWT-AMS_MEX_NAF0006,Mexico-Newton-Adv
GB-GOV-13-NEWT-AMS_MEX_NAF0008,Mexico-Newton-Adv
GB-GOV-13-NEWT-AMS_MEX_NAF0010,Mexico-Newton-Adv
GB-GOV-13-NEWT-AMS_MEX_NAF0012,Mexico-Newton-Adv
GB-GOV-13-NEWT-AMS_MEX_NIF0002,Mexico-Newton-Int
GB-GOV-13-NEWT-AMS_MEX_NIF0004,Mexico-Newton-Int
GB-GOV-13-NEWT-AMS_MEX_NIF0005,Mexico-Newton-Int
GB-GOV-13-NEWT-AMS_MEX_NIF0006,Mexico-Newton-Int
GB-GOV-13-NEWT-AMS_MEX_NIF0007,Mexico-Newton-Int
GB-GOV-13-NEWT-AMS_TUR_NAF0004,Turkey-Newton-Adv
GB-GOV-13-NEWT-AMS_TUR_NIF0004,Turkey-Newton-Int
GB-GOV-13-NEWT-AMS_ZAF_NAF0001,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0002,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0004,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0006,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0008,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0010,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NAF0012,SouthAfrica-Newton-Adv
GB-GOV-13-NEWT-AMS_ZAF_NIF0004,SouthAfrica-Newton-Int
GB-GOV-13-NEWT-AMS_ZAF_NIF0005,SouthAfrica-Newton-Int
GB-GOV-13-NEWT-AMS_ZAF_NIF0007,SouthAfrica-Newton-Int
